Uuid,Void/Retire,Name,Strength,Concept drug,Concept dosage form
1893f0fa-a89d-11df-bba5-000c297f1161,,Pyridoxine (60mg),60mg,654a0e20-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1893f1ea-a89d-11df-bba5-000c297f1161,,Beclometasone Cream BP (15g tube),1application,65588aa4-977f-11e1-8993-905e29aff6c1,65692760-977f-11e1-8993-905e29aff6c1
1893f2e4-a89d-11df-bba5-000c297f1161,,Beclometasone Pressurised Inhalation (50mg dose),1dose,65588aa4-977f-11e1-8993-905e29aff6c1,65692760-977f-11e1-8993-905e29aff6c1
189511ba-a89d-11df-bba5-000c297f1161,,Benzyl Benzoate (25% topical 1000ml),1application,65482218-977f-11e1-8993-905e29aff6c1,65692760-977f-11e1-8993-905e29aff6c1
1895134a-a89d-11df-bba5-000c297f1161,,Betamethasone Valerate (.1% 15mg tube),1application,654a254a-977f-11e1-8993-905e29aff6c1,65692760-977f-11e1-8993-905e29aff6c1
18951462-a89d-11df-bba5-000c297f1161,,Calamine Lotion (100ml tube),1application,6548824e-977f-11e1-8993-905e29aff6c1,65692760-977f-11e1-8993-905e29aff6c1
1895155c-a89d-11df-bba5-000c297f1161,,Calamine Lotion (500ml tube),1application,6548824e-977f-11e1-8993-905e29aff6c1,65692760-977f-11e1-8993-905e29aff6c1
18951660-a89d-11df-bba5-000c297f1161,,Carbamazepine (200mg tablet),200mg,654b0726-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
1895175a-a89d-11df-bba5-000c297f1161,,Ceftriaxone (1 g ampulle),1g,6548858c-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
18951854-a89d-11df-bba5-000c297f1161,,Ceftriaxone (250mg ampulle),250mg,6548858c-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
